"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"DRP-6","DRP_02","monorepo construction",,"Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Thu May 28 2026 11:04:46 GMT+0000 (GMT+00:00)","Thu May 28 2026 11:29:51 GMT+0000 (GMT+00:00)","Thu May 28 2026 11:04:46 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 11:29:51 GMT+0000 (GMT+00:00)",,,,,"",,,,"df2a083a-73b0-48d9-94ee-c4fc0aba4143",25909,,,
"DRP-7","DRP_02","create staging branch, setup proper ci",,"Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Thu May 28 2026 11:05:31 GMT+0000 (GMT+00:00)","Thu May 28 2026 11:46:39 GMT+0000 (GMT+00:00)","Thu May 28 2026 11:05:31 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 11:46:39 GMT+0000 (GMT+00:00)",,,,,"",,,,"75df5a90-6858-481f-9d3c-e7f2b5fd90e5",25892,,,
"DRP-8","DRP_02","create pnpm check script","very minimal UI","Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Thu May 28 2026 11:06:00 GMT+0000 (GMT+00:00)","Thu May 28 2026 12:36:04 GMT+0000 (GMT+00:00)","Thu May 28 2026 11:29:56 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 12:36:04 GMT+0000 (GMT+00:00)",,,,,"",,,,"296d3ab5-869e-49c1-970d-96090f1b0f03",25843,,,
"DRP-9","DRP_02","Conduct iteration 2 interview",,"Done",,"No priority",,,"james.lee.hughff@gmail.com",,"HCD",,,,,"Thu May 28 2026 11:06:41 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 11:54:27 GMT+0000 (GMT+00:00)",,,"Fri Jun 05 2026 11:54:27 GMT+0000 (GMT+00:00)",,,,,"",,,,"43f4b275-37ac-4898-81b4-0cbf3a7a6a70",14365,,,
"DRP-10","DRP_02","moon lord is alive",,"Done",,"Urgent",,,"lukastrakim@gmail.com",,"",,,,,"Thu May 28 2026 11:08:20 GMT+0000 (GMT+00:00)","Wed Jun 10 2026 11:58:43 GMT+0000 (GMT+00:00)",,,"Wed Jun 10 2026 11:58:43 GMT+0000 (GMT+00:00)",,,,,"",,,,"d93166b3-fc8a-48f7-b681-8c3566485861",7160,,,
"DRP-11","DRP_02","Need to get Kaleidoscope from Empress of Light",,"Done",,"High",,,"lukastrakim@gmail.com",,"",,,,,"Thu May 28 2026 11:08:53 GMT+0000 (GMT+00:00)","Wed Jun 10 2026 11:58:45 GMT+0000 (GMT+00:00)",,,"Wed Jun 10 2026 11:58:45 GMT+0000 (GMT+00:00)",,,,,"",,,,"0024bd16-4614-4248-9f05-c090b0a53a66",7160,,,
"DRP-12","DRP_02","write CLAUDE.md file",,"Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Thu May 28 2026 11:30:32 GMT+0000 (GMT+00:00)","Thu May 28 2026 12:36:02 GMT+0000 (GMT+00:00)","Thu May 28 2026 11:30:36 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 12:36:02 GMT+0000 (GMT+00:00)",,,,,"",,,,"053a2849-a829-4194-8ba3-0c5f14335630",25843,,,
"DRP-13","DRP_02","rename the packages name from drp -> bethere",,"Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Thu May 28 2026 12:16:56 GMT+0000 (GMT+00:00)","Thu May 28 2026 13:23:55 GMT+0000 (GMT+00:00)","Thu May 28 2026 12:36:08 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 13:23:55 GMT+0000 (GMT+00:00)",,,,,"",,,,"b87e77d2-b973-44d0-b5ec-3602415fd8a2",25795,,,
"DRP-14","DRP_02","Walking skeleton: persist moment loop in Postgres (Drizzle) + architecture diagram","For the M2 (Walking Skeleton) milestone the digital touchpoint must use a **database** for persistent state. Today the moment loop runs end-to-end RN → tRPC → API but with an **in-memory** store.

Scope:

* Replace the in-memory `moments` store with **Drizzle/Postgres** (`moments` + `responses` tables), keeping the thin scope (just the moment loop).
* Demo seeding: one proposal (""Dinner tonight? · Pho House · Thu 7pm"", quorum 3) with two participants already IN, so the dev user's answer is decisive (Yes → clears 3/3, No → fizzles 2/3).
* Make `moments.mine` / `respond` / `resolve` DB-backed; keep the privacy shapes (no participant ids / tally leaked).
* Generate + apply the Drizzle migration; verify end-to-end against a live Postgres (Docker).
* Add a simple markdown **architecture diagram** (RN → tRPC → API → Postgres).
* Commit the walking skeleton + DB work properly.

Outcome: a genuine walking skeleton that links all architectural components incl. the DB — satisfies the M2 DB requirement.","Done",,"Urgent",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 12:46:51 GMT+0000 (GMT+00:00)","Thu May 28 2026 13:25:00 GMT+0000 (GMT+00:00)","Thu May 28 2026 12:46:51 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 13:25:00 GMT+0000 (GMT+00:00)",,,,,"",,,,"5f2bdb95-3788-4801-b909-501f787dd720",25794,,,
"DRP-15","DRP_02","BeThere: full-loop walking skeleton (suggest → availability → matching → moment → plan)","Extend the moment-only slice (PR #9, now on `dev`) into the full BeThere loop, partially functional and DB-backed, per the reference implementation spec.

## Scope

* **Shared** (`@bethere/shared`): add `PartOfDay`, `Slot`, `CreateSuggestionInput`, `DropAvailabilityInput`; pure logic `quorum.ts`, `time.ts`, `matching.ts` (`findClearingSlot`), and `findLinchpins`; unit tests.
* **API** (`@bethere/api`): tables `users/groups/groupMembers/suggestions/availability/plans` + reshaped `moments`; `services/bethere.ts` (`tryFireMoment`, `resolveMoment`); routers `groups`/`suggestions`/`availability` + extended `moments` (`mine` with group members + `msLeft`, `plan` read); reseeded demo; clean baseline migration.
* **Mobile** (`@bethere/mobile`): `useState` route switcher + screens Home, Suggest, Availability, Floating, The Moment (real ""I'm in if…"" picker + countdown), Reveal.

## Privacy invariants enforced

* Availability never returned except to its owner; no names/counts.
* `moments.mine` returns the *group's* members (for the conditional picker) — never the moment's participants or any tally.
* On clear, only the IN crowd is revealed; fizzle is silent.

## Non-goals (this slice)

Fonts (Lora/Inter), push notifications, AI seeding, calendar, real auth, linchpin nudge delivery, websockets. Wired behind existing interfaces later.

Branch `feat/bethere-full-loop` → PR into `dev`.","Done",,"High",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 14:04:09 GMT+0000 (GMT+00:00)","Thu May 28 2026 14:43:06 GMT+0000 (GMT+00:00)","Thu May 28 2026 14:04:09 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 14:27:47 GMT+0000 (GMT+00:00)",,,,,"",,,,"4e959c37-d4ff-47e5-9278-4dfb5936c8a3",25731,,,
